"";"D1 M";"D1 S";"D2 M";"D2 S";"D3 M";"D3 S";"T1 M";"T1 S";"T2 M";"T2 S";"T3 M";"T3 S";"S1 M";"S1 S";"S2 M";"S2 S";"S3 M";"S3 S"
"TS01";1.00475348548721e-05;7.26631185158154e-18;1.00475348548721e-05;7.26631185158154e-18;1.00475348548721e-05;7.26631185158154e-18;0;0;0;0;0;0;4.70067676963554e-07;6.74548911896604e-07;4.70067676963554e-07;6.74548911896604e-07;4.70067676963554e-07;6.74548911896604e-07
"TS02";0.200409532650767;0.03012037854789;0.200409532650767;0.03012037854789;0.200409532650767;0.03012037854789;0.18864058310629;3.90774673396708e-16;0.168924978876717;3.38926277488035e-16;0.150043818117785;2.73204108599793e-16;0.251344012713475;2.21566076595671e-15;0.199402482204166;1.98300805898681e-15;0.155157211999196;1.76341977040376e-15
"TS03";2.51188371231932e-10;6.51342353774679e-20;2.51188371231932e-10;6.51342353774679e-20;2.51188371231932e-10;6.51342353774679e-20;0.18864058310629;4.60553020337341e-16;0.168924978876717;4.25283694725727e-16;0.150043818117785;3.63187006883398e-16;0.251344012713474;2.96798699036366e-15;0.199402482204166;2.59514219712642e-15;0.155157211999196;2.20695129781156e-15
"TS04";234.854197920599;156.112302282699;313.387743199772;352.387531480878;317.353455354947;356.781289607219;120.108739406737;65.8479916168847;84.2325985675646;74.6900785910308;45.5999033832353;38.4935333299799;45.3981220473851;22.6226294463916;5.9745501738697;8.25945177145254;2.05485874104355;3.87609859197255
"TS05";162.488668860179;127.610107233456;195.048252212543;280.538026994065;257.4179543575;360.675664208757;71.6981596028646;53.3467201468481;44.9847618624968;35.2899518959769;27.2698523694903;24.9698779337255;18.7411960299594;12.9094466883085;6.33631178571385;5.16044322695528;2.76052145800706;2.87837237410986
"TS06";2043.33200973365;1226.95877527966;3743.55813145654;4814.21687476033;3596.40424847695;4766.07432815893;891.781603565258;607.819265472381;607.863087052727;378.622257187759;346.626750618715;213.307116291032;334.884670721672;213.950516658356;153.292747906797;133.282641174428;31.9424430038108;34.3935114545078
"TS07";2.74674613177443;1.18083742293113;3.88275130535544;3.78133958932038;3.42145345420063;4.17929509398591;1.691150898;0.353854452394845;1.63687752716996;0.381877269316894;1.42544303732134;0.376208555004302;0.80019803150226;0.167158559304825;0.542860178952995;0.111717548177139;0.203060204708159;0.0767086319960326
"TS08";3.86217643790543;1.84561485927864;4.4148679975549;3.58863365984134;8.04282609903189;8.79183418242947;2.071852713;0.294893349347141;1.95509098258824;0.46322823519847;1.65764317268254;0.363677238365695;0.999789220122735;0.127340988162245;0.656305419116227;0.10447296841967;0.216368272083846;0.0954837528680512
"TS09";12.7252411761879;5.56522192203419;14.0768237006692;6.5018411001872;46.88418210134;55.9724101672791;7.830526715;2.41378723460736;7.33085800963907;2.35875381353058;6.638422332169;2.17475664029258;3.86294599409554;0.599176635325919;2.6308589312954;0.557522823739368;1.01594475548105;0.551485875452993
"TS10";4.87409716888761;4.32601151380237;4.70091256406476;7.5337102042017;4.89222857373962;8.03297854451281;1.96476200582364;0.421748816498115;1.83036387270317;0.410422090297284;1.93071259032495;0.785894371682038;2.20150742267007;0.554112338223295;1.22253830068834;0.216293155002703;1.49526155489689;0.801360962432733
"TS11";495.644314663037;377.810090207952;593.253342784643;647.919900282216;656.486905405981;652.880445393352;217.160565577724;191.546502782491;167.798146812676;170.110016240549;119.236457357778;141.194632992373;85.2639050841997;56.3387854952012;31.0718591674061;17.3672226882744;6.70873185634827;6.71593497854963
